Temps;Canal B
(s);(V)

0,02785280;0,10889000
0,02801664;0,09979553
0,02818048;0,09979553
0,02834432;0,09979553
0,02850816;0,08157597
0,02867200;0,08157597
0,02883584;0,07245094
0,02899968;0,07245094
0,02916352;0,06332590
0,02932736;0,06332590
0,02949120;0,05423139
0,02965504;0,05423139
0,02981888;0,04510636
0,02998272;0,04510636
0,03014656;0,04510636
0,03031040;0,03601184
0,03047424;0,03601184
0,03063808;0,03601184
0,03080192;0,03601184
0,03096576;0,02691733
0,03112960;0,02691733
0,03129344;0,01779229
0,03145728;0,01779229
0,03162112;0,01779229
0,03178496;0,01779229
0,03194880;0,01779229
0,03211264;0,00869778
0,03227648;0,00869778
0,03244032;0,00869778
0,03260416;-0,00042726
0,03276800;-0,00042726
0,03293184;-0,00042726
0,03309568;-0,00042726
0,03325952;-0,00955229
0,03342336;-0,00955229
0,03358720;-0,00955229
0,03375104;-0,01864681
0,03391488;-0,01864681
0,03407872;-0,02777184
0,03424256;-0,03686636
0,03440640;-0,03686636
0,03457024;-0,04599139
0,03473408;-0,05511643
0,03489792;-0,05511643
0,03506176;-0,06421094
0,03522560;-0,07333598
0,03538944;-0,07333598
0,03555328;-0,08243050
0,03571712;-0,09155553
0,03588096;-0,10977510
0,03604480;-0,10977510
0,03620864;-0,11890010
0,03637248;-0,12799460
0,03653632;-0,14624470
0,03670016;-0,14624470
0,03686400;-0,15533920
0,03702784;-0,17358930
0,03719168;-0,18268380
0,03735552;-0,19180880
0,03751936;-0,20090330
0,03768320;-0,21002840
0,03784704;-0,21915340
0,03801088;-0,22824790
0,03817472;-0,23737300
0,03833856;-0,24646750
0,03850240;-0,25559250
0,03866624;-0,26471750
0,03883008;-0,27381210
0,03899392;-0,27381210
0,03915776;-0,28293710
0,03932160;-0,28293710
0,03948544;-0,29203160
0,03964928;-0,29203160
0,03981312;-0,29203160
0,03997696;-0,29203160
0,04014080;-0,29203160
0,04030464;-0,29203160
0,04046848;-0,29203160
0,04063232;-0,29203160
0,04079616;-0,28293710
0,04096000;-0,27381210
0,04112384;-0,27381210
0,04128768;-0,25559250
0,04145152;-0,25559250
0,04161536;-0,23737300
0,04177920;-0,22824790
0,04194304;-0,21915340
0,04210688;-0,21002840
0,04227072;-0,19180880
0,04243456;-0,18268380
0,04259840;-0,16446430
0,04276224;-0,14624470
0,04292608;-0,12799460
0,04308992;-0,11890010
0,04325376;-0,10068060
0,04341760;-0,08243050
0,04358144;-0,06421094
0,04374528;-0,04599139
0,04390912;-0,02777184
0,04407296;-0,00955229
0,04423680;0,00869778
0,04440064;0,02691733
0,04456448;0,04510636
0,04472832;0,06332590
0,04489216;0,08157597
0,04505600;0,09979553
0,04521984;0,11801510
0,04538368;0,12714010
0,04554752;0,14535970
0,04571136;0,16357920
0,04587520;0,17270420
0,04603904;0,18179880
0,04620288;0,20001830
0,04636672;0,20914330
0,04653056;0,21826840
0,04669440;0,21826840
0,04685824;0,23648790
0,04702208;0,23648790
0,04718592;0,24561300
0,04734976;0,25470750
0,04751360;0,25470750
0,04767744;0,26383250
0,04784128;0,26383250
0,04800512;0,26383250
0,04816896;0,26383250
0,04833280;0,27292700
0,04849664;0,26383250
0,04866048;0,26383250
0,04882432;0,26383250
0,04898816;0,25470750
0,04915200;0,25470750
0,04931584;0,25470750
