Temps;Canal A
(us);(V)

-24,09409371;-0,08972442
-24,08409371;-0,08972442
-24,07409371;-0,08972442
-24,06409371;-0,08972442
-24,05409371;-0,08972442
-24,04409371;-0,08972442
-24,03409371;-0,10779140
-24,02409371;-0,10779140
-24,01409371;-0,10779140
-24,00409371;-0,10779140
-23,99409371;-0,10779140
-23,98409371;-0,10779140
-23,97409371;-0,10779140
-23,96409371;-0,10779140
-23,95409371;-0,12585830
-23,94409371;-0,12585830
-23,93409371;-0,12585830
-23,92409371;-0,12585830
-23,91409371;-0,14392530
-23,90409371;-0,12585830
-23,89409371;-0,12585830
-23,88409371;-0,14392530
-23,87409371;-0,12585830
-23,86409371;-0,14392530
-23,85409371;-0,14392530
-23,84409371;-0,14392530
-23,83409371;-0,14392530
-23,82409371;-0,14392530
-23,81409371;-0,14392530
-23,80409371;-0,14392530
-23,79409371;-0,16205330
-23,78409371;-0,16205330
-23,77409371;-0,16205330
-23,76409371;-0,16205330
-23,75409371;-0,16205330
-23,74409371;-0,16205330
-23,73409371;-0,16205330
-23,72409371;-0,16205330
-23,71409371;-0,16205330
-23,70409371;-0,16205330
-23,69409371;-0,16205330
-23,68409371;-0,18012020
-23,67409371;-0,18012020
-23,66409371;-0,18012020
-23,65409371;-0,18012020
-23,64409371;-0,18012020
-23,63409371;-0,18012020
-23,62409371;-0,18012020
-23,61409371;-0,18012020
-23,60409371;-0,18012020
-23,59409371;-0,18012020
-23,58409371;-0,18012020
-23,57409371;-0,18012020
-23,56409371;-0,18012020
-23,55409371;-0,19818720
-23,54409371;-0,19818720
-23,53409371;-0,19818720
-23,52409371;-0,19818720
-23,51409371;-0,19818720
-23,50409371;-0,19818720
-23,49409371;-0,19818720
-23,48409371;-0,21625420
-23,47409371;-0,19818720
-23,46409371;-0,21625420
-23,45409371;-0,21625420
-23,44409371;-0,21625420
-23,43409371;-0,19818720
-23,42409371;-0,21625420
-23,41409371;-0,21625420
-23,40409371;-0,21625420
-23,39409371;-0,21625420
-23,38409371;-0,21625420
-23,37409371;-0,21625420
-23,36409371;-0,21625420
-23,35409371;-0,21625420
-23,34409371;-0,21625420
-23,33409371;-0,23438220
-23,32409371;-0,21625420
-23,31409371;-0,23438220
-23,30409371;-0,23438220
-23,29409371;-0,23438220
-23,28409371;-0,23438220
-23,27409371;-0,23438220
-23,26409371;-0,23438220
-23,25409371;-0,23438220
-23,24409371;-0,23438220
-23,23409371;-0,23438220
-23,22409371;-0,23438220
-23,21409371;-0,23438220
-23,20409371;-0,25244910
-23,19409371;-0,25244910
-23,18409371;-0,23438220
-23,17409371;-0,25244910
-23,16409371;-0,23438220
-23,15409371;-0,25244910
-23,14409371;-0,23438220
-23,13409371;-0,25244910
-23,12409371;-0,25244910
-23,11409371;-0,25244910
-23,10409371;-0,25244910
-23,09409371;-0,25244910
-23,08409371;-0,25244910
-23,07409371;-0,25244910
-23,06409371;-0,25244910
-23,05409371;-0,25244910
-23,04409371;-0,25244910
-23,03409371;-0,25244910
-23,02409371;-0,25244910
-23,01409371;-0,25244910
-23,00409371;-0,25244910
-22,99409371;-0,25244910
-22,98409371;-0,25244910
-22,97409371;-0,25244910
-22,96409371;-0,25244910
-22,95409371;-0,25244910
-22,94409371;-0,25244910
-22,93409371;-0,25244910
-22,92409371;-0,25244910
-22,91409371;-0,25244910
-22,90409371;-0,25244910
-22,89409372;-0,25244910
-22,88409372;-0,25244910
-22,87409372;-0,25244910
-22,86409372;-0,27051610
-22,85409372;-0,27051610
